neigh_num,name,area_sqkm,lat,long,loc
5430,Royal Gardens,1.218698963245689,53.479419,-113.528055,"(53.47941921545243, -113.52805526236676)"
3120,Chambery,0.728799457380747,53.640764,-113.511761,"(53.640763764687975, -113.51176139268233)"
5576,Keswick Area,3.870061446538625,53.417600,-113.635797,"(53.41760014629527, -113.63579702478538)"
6270,Gold Bar,1.044820730364791,53.548908,-113.412004,"(53.54890801185152, -113.41200386810897)"
4130,Edmiston Industrial,1.182253082486192,53.565847,-113.632747,"(53.56584737012882, -113.63274685345706)"
5120,Calgary Trail South,0.653891495713883,53.471191,-113.493532,"(53.47119122489177, -113.4935316343962)"
3150,Cumberland,1.456548156927866,53.610563,-113.553188,"(53.61056256776709, -113.55318812782944)"
5462,Chappelle Area,5.034380842355488,53.402917,-113.586845,"(53.402916677967674, -113.58684469592029)"
5570,Windermere,4.773361576580408,53.432563,-113.626008,"(53.432563152762754, -113.62600761352968)"
2462,Crystallina Nera East,0.858685614188906,53.640784,-113.448768,"(53.64078411972238, -113.44876804405544)"
4190,Hawin Park Estate Industrial,0.67820008618177,53.574851,-113.596574,"(53.57485072724927, -113.59657383708225)"
4540,Terra Losa,0.761298589489652,53.533293,-113.622178,"(53.53329320017489, -113.62217806446893)"
5457,Callaghan,0.817914512229637,53.407345,-113.526792,"(53.407345093084004, -113.52679196291469)"
1160,Parkdale,0.951677388439311,53.565716,-113.471350,"(53.56571569943334, -113.47135037828579)"
6040,Bonnie Doon,1.500853242781652,53.525337,-113.467111,"(53.5253371249322, -113.46711141142592)"
5280,Malmo Plains,0.94094072421022,53.485677,-113.528992,"(53.48567699317607, -113.52899210582925)"
4360,Oleskiw,1.325997817191128,53.497340,-113.608765,"(53.49733975805122, -113.60876547735896)"
5340,Ramsay Heights,1.310839702395852,53.483368,-113.579034,"(53.483367623497735, -113.57903398886673)"
4100,Carleton Square Industrial,0.410191631391664,53.573430,-113.608881,"(53.57343036695697, -113.6088812397449)"
2241,Eaux Claires,1.286201969651482,53.621639,-113.485637,"(53.621638824117554, -113.4856371921701)"
5466,Cashman,1.07585412608866,53.417458,-113.500695,"(53.417457576662756, -113.5006947004733)"
3050,Brown Industrial,0.375570255907324,53.582399,-113.568007,"(53.58239893620991, -113.56800737006634)"
3460,Albany,0.843312282877517,53.632382,-113.549464,"(53.63238214011547, -113.54946431196204)"
2400,Kildare,1.188673329033106,53.603293,-113.455150,"(53.60329283648903, -113.45515009561049)"
